ticker,ff12,ff12_source,classification_confidence
ALLO,10,legacy_symbols_with_sector,
ALLR,10,legacy_symbols_with_sector,
ALLT,6,legacy_symbols_with_sector,
ALLY,11,legacy_symbols_with_sector,
ALNT,6,legacy_symbols_with_sector,
ALNY,10,legacy_symbols_with_sector,
ALOT,6,legacy_symbols_with_sector,
ALOY,12,legacy_symbols_with_sector,
ALPS,10,legacy_symbols_with_sector,
ALRM,6,legacy_symbols_with_sector,
ALRS,11,legacy_symbols_with_sector,
ALSN,2,legacy_symbols_with_sector,
ALT,10,legacy_symbols_with_sector,
ALTG,9,legacy_symbols_with_sector,
ALTI,11,legacy_symbols_with_sector,
ALTO,5,legacy_symbols_with_sector,
ALV,2,legacy_symbols_with_sector,
ALVO,10,legacy_symbols_with_sector,
ALVOW,10,legacy_symbols_with_sector,
ALX,11,legacy_symbols_with_sector,
ALXO,10,legacy_symbols_with_sector,
ALYAF,6,legacy_symbols_with_sector,
ALZN,10,legacy_symbols_with_sector,
AM,8,legacy_symbols_with_sector,
AMAL,11,legacy_symbols_with_sector,
AMAT,6,legacy_symbols_with_sector,
AMBA,6,legacy_symbols_with_sector,
AMBO,12,legacy_symbols_with_sector,
AMBP,3,legacy_symbols_with_sector,
AMBR,11,legacy_symbols_with_sector,
AMC,12,legacy_symbols_with_sector,
AMCR,2,legacy_symbols_with_sector,
AMCX,7,legacy_symbols_with_sector,
AMD,6,legacy_symbols_with_sector,
AME,6,legacy_symbols_with_sector,
AMG,11,legacy_symbols_with_sector,
AMGN,10,legacy_symbols_with_sector,
AMH,11,legacy_symbols_with_sector,
AMKR,6,legacy_symbols_with_sector,
AMLX,10,legacy_symbols_with_sector,
AMN,12,legacy_symbols_with_sector,
AMOD,11,legacy_symbols_with_sector,
AMODW,11,legacy_symbols_with_sector,
AMP,11,legacy_symbols_with_sector,
AMPG,6,legacy_symbols_with_sector,
AMPH,10,legacy_symbols_with_sector,
AMPL,6,legacy_symbols_with_sector,
AMPX,6,legacy_symbols_with_sector,
AMPY,4,legacy_symbols_with_sector,
AMR,4,legacy_symbols_with_sector,
AMRC,12,legacy_symbols_with_sector,
AMRN,10,legacy_symbols_with_sector,
AMRX,10,legacy_symbols_with_sector,
AMS,10,legacy_symbols_with_sector,
AMSC,3,legacy_symbols_with_sector,
AMSF,11,legacy_symbols_with_sector,
AMST,6,legacy_symbols_with_sector,
AMT,11,legacy_symbols_with_sector,
AMTB,11,legacy_symbols_with_sector,
AMTD,11,legacy_symbols_with_sector,
AMTX,5,legacy_symbols_with_sector,
AMWD,12,legacy_symbols_with_sector,
AMWL,12,legacy_symbols_with_sector,
AMX,7,legacy_symbols_with_sector,
AMZE,9,legacy_symbols_with_sector,
AMZN,9,legacy_symbols_with_sector,
AN,9,legacy_symbols_with_sector,
ANAB,10,legacy_symbols_with_sector,
ANDE,9,legacy_symbols_with_sector,
ANET,6,legacy_symbols_with_sector,
ANF,9,legacy_symbols_with_sector,
ANGH,7,legacy_symbols_with_sector,
ANGHW,7,legacy_symbols_with_sector,
ANGI,12,legacy_symbols_with_sector,
ANGO,10,legacy_symbols_with_sector,
ANGX,12,legacy_symbols_with_sector,
ANIK,10,legacy_symbols_with_sector,
ANIP,10,legacy_symbols_with_sector,
ANIX,10,legacy_symbols_with_sector,
ANNA,4,legacy_symbols_with_sector,
ANNAW,4,legacy_symbols_with_sector,
ANNX,10,legacy_symbols_with_sector,
ANTX,10,legacy_symbols_with_sector,
ANVS,10,legacy_symbols_with_sector,
ANY,11,legacy_symbols_with_sector,
AOMR,11,legacy_symbols_with_sector,
AON,11,legacy_symbols_with_sector,
AORT,10,legacy_symbols_with_sector,
AOS,2,legacy_symbols_with_sector,
AOSL,6,legacy_symbols_with_sector,
AOUT,1,legacy_symbols_with_sector,
AP,3,legacy_symbols_with_sector,
APA,4,legacy_symbols_with_sector,
APAM,11,legacy_symbols_with_sector,
APC,9,legacy_symbols_with_sector,
APCXW,6,legacy_symbols_with_sector,
APD,5,legacy_symbols_with_sector,
APEI,12,legacy_symbols_with_sector,
APG,12,legacy_symbols_with_sector,
APH,6,legacy_symbols_with_sector,
API,6,legacy_symbols_with_sector,
APLD,6,legacy_symbols_with_sector,
APLE,11,legacy_symbols_with_sector,
APLM,10,legacy_symbols_with_sector,
APLMW,10,legacy_symbols_with_sector,
APLS,10,legacy_symbols_with_sector,
APM,6,legacy_symbols_with_sector,
APO,11,legacy_symbols_with_sector,
APOG,3,legacy_symbols_with_sector,
APP,6,legacy_symbols_with_sector,
APPF,6,legacy_symbols_with_sector,
APPN,6,legacy_symbols_with_sector,
APPS,11,legacy_symbols_with_sector,
APRE,10,legacy_symbols_with_sector,
APT,10,legacy_symbols_with_sector,
APTV,2,legacy_symbols_with_sector,
APVO,10,legacy_symbols_with_sector,
APWC,3,legacy_symbols_with_sector,
APXTU,12,legacy_symbols_with_sector,
APYX,10,legacy_symbols_with_sector,
AQB,1,legacy_symbols_with_sector,
AQMS,3,legacy_symbols_with_sector,
AQN,8,legacy_symbols_with_sector,
AQNB,8,legacy_symbols_with_sector,
AQST,10,legacy_symbols_with_sector,
AR,4,legacy_symbols_with_sector,
ARAY,10,legacy_symbols_with_sector,
ARBE,6,legacy_symbols_with_sector,
ARBEW,6,legacy_symbols_with_sector,
ARBK,11,legacy_symbols_with_sector,
ARCB,12,legacy_symbols_with_sector,
ARCC,12,legacy_symbols_with_sector,
ARCO,9,legacy_symbols_with_sector,
ARCT,10,legacy_symbols_with_sector,
ARDX,10,legacy_symbols_with_sector,
ARE,11,legacy_symbols_with_sector,
AREB,3,legacy_symbols_with_sector,
AREBW,3,legacy_symbols_with_sector,
AREC,4,legacy_symbols_with_sector,
AREN,7,legacy_symbols_with_sector,
ARES,11,legacy_symbols_with_sector,
ARGX,10,legacy_symbols_with_sector,
ARHS,9,legacy_symbols_with_sector,
ARI,11,legacy_symbols_with_sector,
ARIS,12,legacy_symbols_with_sector,
ARKO,9,legacy_symbols_with_sector,
ARKR,9,legacy_symbols_with_sector,
ARL,11,legacy_symbols_with_sector,
ARLO,2,legacy_symbols_with_sector,
ARLP,4,legacy_symbols_with_sector,
ARMK,9,legacy_symbols_with_sector,
ARMP,10,legacy_symbols_with_sector,
AROC,8,legacy_symbols_with_sector,
AROW,11,legacy_symbols_with_sector,
ARQ,5,legacy_symbols_with_sector,
ARQQ,6,legacy_symbols_with_sector,
ARQQW,6,legacy_symbols_with_sector,
ARQT,10,legacy_symbols_with_sector,
ARR,11,legacy_symbols_with_sector,
ARRY,2,legacy_symbols_with_sector,
ARTL,10,legacy_symbols_with_sector,
