symbol,first_snapshot_year,latest_snapshot_year,sources,asset_types,statuses,alpha_vantage_symbol,yahoo_symbol_candidate,local_symbol_candidate,symbol_suffix_type,needs_symbol_validation,yf_symbol,rejection_reason
ACABU,2022,2022,alpha_vantage_listing_status,Stock,Active,ACABU,ACABU,ACABU,plain,False,ACABU,
ACAC,2022,2022,alpha_vantage_listing_status,Stock,Active,ACAC,ACAC,ACAC,plain,False,ACAC,
ACACU,2020,2022,alpha_vantage_listing_status,Stock,Active|Delisted,ACACU,ACACU,ACACU,plain,False,ACACU,
ACACW,2020,2022,alpha_vantage_listing_status,Stock,Active,ACACW,ACACW,ACACW,plain,False,ACACW,
ACAD,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACAD,ACAD,ACAD,plain,False,ACAD,
ACAH,2021,2022,alpha_vantage_listing_status,Stock,Active,ACAH,ACAH,ACAH,plain,False,ACAH,
ACAHU,2021,2022,alpha_vantage_listing_status,Stock,Active,ACAHU,ACAHU,ACAHU,plain,False,ACAHU,
ACAHW,2021,2022,alpha_vantage_listing_status,Stock,Active,ACAHW,ACAHW,ACAHW,plain,False,ACAHW,
ACAMU,2019,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACAMU,ACAMU,ACAMU,plain,False,ACAMU,
ACAP,2010,2021,alpha_vantage_listing_status,Stock,Delisted,ACAP,ACAP,ACAP,plain,False,ACAP,
ACAQ,2021,2022,alpha_vantage_listing_status,Stock,Active,ACAQ,ACAQ,ACAQ,plain,False,ACAQ,
ACAS,2010,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACAS,ACAS,ACAS,plain,False,ACAS,
ACAT,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active|Delisted,ACAT,ACAT,ACAT,plain,False,ACAT,
ACAX,2022,2022,alpha_vantage_listing_status,Stock,Active,ACAX,ACAX,ACAX,plain,False,ACAX,
ACAXR,2022,2022,alpha_vantage_listing_status,Stock,Active,ACAXR,ACAXR,ACAXR,plain,False,ACAXR,
ACAXU,2022,2022,alpha_vantage_listing_status,Stock,Active,ACAXU,ACAXU,ACAXU,plain,False,ACAXU,
ACAXW,2022,2022,alpha_vantage_listing_status,Stock,Active,ACAXW,ACAXW,ACAXW,plain,False,ACAXW,
ACB,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active|Delisted,ACB,ACB,ACB,plain,False,ACB,
ACBA,2021,2022,alpha_vantage_listing_status,Stock,Active,ACBA,ACBA,ACBA,plain,False,ACBA,
ACBAU,2021,2022,alpha_vantage_listing_status,Stock,Active,ACBAU,ACBAU,ACBAU,plain,False,ACBAU,
ACBAW,2021,2022,alpha_vantage_listing_status,Stock,Active,ACBAW,ACBAW,ACBAW,plain,False,ACBAW,
ACBI,2015,2021,alpha_vantage_listing_status,Stock,Active,ACBI,ACBI,ACBI,plain,False,ACBI,
ACC,2010,2021,alpha_vantage_listing_status,Stock,Active,ACC,ACC,ACC,plain,False,ACC,
ACCD,2020,2022,alpha_vantage_listing_status,Stock,Active,ACCD,ACCD,ACCD,plain,False,ACCD,
ACCL,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active|Delisted,ACCL,ACCL,ACCL,plain,False,ACCL,
ACCO,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACCO,ACCO,ACCO,plain,False,ACCO,
ACCS,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACCS,ACCS,ACCS,plain,False,ACCS,
ACCUF,2022,2022,alpha_vantage_listing_status,Stock,Active,ACCUF,ACCUF,ACCUF,plain,False,ACCUF,
ACDC,2022,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACDC,ACDC,ACDC,plain,False,ACDC,
ACDCW,2022,2022,alpha_vantage_listing_status,Stock,Active,ACDCW,ACDCW,ACDCW,plain,False,ACDCW,
ACDI,2021,2022,alpha_vantage_listing_status,Stock,Active,ACDI,ACDI,ACDI,plain,False,ACDI,
ACEL,2019,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACEL,ACEL,ACEL,plain,False,ACEL,
ACER,2017,2022,alpha_vantage_listing_status,Stock,Active,ACER,ACER,ACER,plain,False,ACER,
ACERW,2015,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACERW,ACERW,ACERW,plain,False,ACERW,
ACET,2018,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACET,ACET,ACET,plain,False,ACET,
ACETQ,2010,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACETQ,ACETQ,ACETQ,plain,False,ACETQ,
ACEVU,2020,2021,alpha_vantage_listing_status,Stock,Active,ACEVU,ACEVU,ACEVU,plain,False,ACEVU,
ACF,2010,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACF,ACF,ACF,plain,False,ACF,
ACFC,2010,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACFC,ACFC,ACFC,plain,False,ACFC,
ACGL,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACGL,ACGL,ACGL,plain,False,ACGL,
ACGLN,2021,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACGLN,ACGLN,ACGLN,plain,False,ACGLN,
ACGLO,2017,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACGLO,ACGLO,ACGLO,plain,False,ACGLO,
ACGLP,2016,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACGLP,ACGLP,ACGLP,plain,False,ACGLP,
ACGN,2010,2022,alpha_vantage_listing_status,Stock,Active,ACGN,ACGN,ACGN,plain,False,ACGN,
ACH,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACH,ACH,ACH,plain,False,ACH,
ACHC,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACHC,ACHC,ACHC,plain,False,ACHC,
ACHL,2021,2022,alpha_vantage_listing_status,Stock,Active,ACHL,ACHL,ACHL,plain,False,ACHL,
ACHN,2010,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACHN,ACHN,ACHN,plain,False,ACHN,
ACHR,2020,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACHR,ACHR,ACHR,plain,False,ACHR,
ACHV,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACHV,ACHV,ACHV,plain,False,ACHV,
ACI,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active|Delisted,ACI,ACI,ACI,plain,False,ACI,
ACIA,2016,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACIA,ACIA,ACIA,plain,False,ACIA,
ACIC,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACIC,ACIC,ACIC,plain,False,ACIC,
ACII,2021,2021,alpha_vantage_listing_status,Stock,Active,ACII,ACII,ACII,plain,False,ACII,
ACIU,2016,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACIU,ACIU,ACIU,plain,False,ACIU,
ACIW,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACIW,ACIW,ACIW,plain,False,ACIW,
ACKIT,2021,2021,alpha_vantage_listing_status,Stock,Active,ACKIT,ACKIT,ACKIT,plain,False,ACKIT,
ACKIU,2020,2021,alpha_vantage_listing_status,Stock,Active,ACKIU,ACKIU,ACKIU,plain,False,ACKIU,
ACKIW,2021,2021,alpha_vantage_listing_status,Stock,Active,ACKIW,ACKIW,ACKIW,plain,False,ACKIW,
ACLI,2010,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACLI,ACLI,ACLI,plain,False,ACLI,
ACLS,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACLS,ACLS,ACLS,plain,False,ACLS,
ACLX,2022,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACLX,ACLX,ACLX,plain,False,ACLX,
ACM,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACM,ACM,ACM,plain,False,ACM,
ACME,2016,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACME,ACME,ACME,plain,False,ACME,
ACMP,2010,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACMP,ACMP,ACMP,plain,False,ACMP,
ACMR,2017,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACMR,ACMR,ACMR,plain,False,ACMR,
ACN,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACN,ACN,ACN,plain,False,ACN,
ACNB,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACNB,ACNB,ACNB,plain,False,ACNB,
ACNDWS,2021,2021,alpha_vantage_listing_status,Stock,Active,ACNDWS,ACNDWS,ACNDWS,plain,False,ACNDWS,
ACNT,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACNT,ACNT,ACNT,plain,False,ACNT,
ACO,2010,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACO,ACO,ACO,plain,False,ACO,
ACOM,2010,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACOM,ACOM,ACOM,plain,False,ACOM,
ACON,2022,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACON,ACON,ACON,plain,False,ACON,
ACONW,2022,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACONW,ACONW,ACONW,plain,False,ACONW,
ACP-R,2019,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACP-R,ACP-R,ACP.R,class_or_suffix,True,ACP-R,
ACQR,2021,2022,alpha_vantage_listing_status,Stock,Active,ACQR,ACQR,ACQR,plain,False,ACQR,
ACQRU,2021,2022,alpha_vantage_listing_status,Stock,Active,ACQRU,ACQRU,ACQRU,plain,False,ACQRU,
ACQRW,2021,2022,alpha_vantage_listing_status,Stock,Active,ACQRW,ACQRW,ACQRW,plain,False,ACQRW,
ACR,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACR,ACR,ACR,plain,False,ACR,
ACRE,2012,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACRE,ACRE,ACRE,plain,False,ACRE,
ACRO,2021,2022,alpha_vantage_listing_status,Stock,Active,ACRO,ACRO,ACRO,plain,False,ACRO,
ACRS,2015,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACRS,ACRS,ACRS,plain,False,ACRS,
ACRV,2022,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACRV,ACRV,ACRV,plain,False,ACRV,
ACS,2010,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACS,ACS,ACS,plain,False,ACS,
ACSF,2014,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACSF,ACSF,ACSF,plain,False,ACSF,
ACST,2011,2022,alpha_vantage_listing_status,Stock,Active,ACST,ACST,ACST,plain,False,ACST,
ACT,2021,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACT,ACT,ACT,plain,False,ACT,
ACTA,2010,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACTA,ACTA,ACTA,plain,False,ACTA,
ACTC,2020,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACTC,ACTC,ACTC,plain,False,ACTC,
ACTCU,2020,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACTCU,ACTCU,ACTCU,plain,False,ACTCU,
ACTD,2021,2021,alpha_vantage_listing_status,Stock,Active,ACTD,ACTD,ACTD,plain,False,ACTD,
ACTDU,2021,2021,alpha_vantage_listing_status,Stock,Active,ACTDU,ACTDU,ACTDU,plain,False,ACTDU,
ACTDW,2021,2021,alpha_vantage_listing_status,Stock,Active,ACTDW,ACTDW,ACTDW,plain,False,ACTDW,
ACTG,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACTG,ACTG,ACTG,plain,False,ACTG,
ACTI,2010,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACTI,ACTI,ACTI,plain,False,ACTI,
ACTS,2010,2022,alpha_vantage_listing_status,Stock,Active,ACTS,ACTS,ACTS,plain,False,ACTS,
ACTT,2019,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACTT,ACTT,ACTT,plain,False,ACTT,
ACTTU,2019,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACTTU,ACTTU,ACTTU,plain,False,ACTTU,
ACTTW,2019,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACTTW,ACTTW,ACTTW,plain,False,ACTTW,
ACU,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACU,ACU,ACU,plain,False,ACU,
ACVA,2021,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACVA,ACVA,ACVA,plain,False,ACVA,
ACW,2010,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACW,ACW,ACW,plain,False,ACW,
ACXM,2010,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ACXM,ACXM,ACXM,plain,False,ACXM,
ACXP,2021,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ACXP,ACXP,ACXP,plain,False,ACXP,
AD,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,AD,AD,AD,plain,False,AD,
ADAG,2021,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ADAG,ADAG,ADAG,plain,False,ADAG,
ADAL,2021,2022,alpha_vantage_listing_status,Stock,Active,ADAL,ADAL,ADAL,plain,False,ADAL,
ADALU,2021,2022,alpha_vantage_listing_status,Stock,Active,ADALU,ADALU,ADALU,plain,False,ADALU,
ADALW,2021,2022,alpha_vantage_listing_status,Stock,Active,ADALW,ADALW,ADALW,plain,False,ADALW,
ADAM,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ADAM,ADAM,ADAM,plain,False,ADAM,
ADAML,2021,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ADAML,ADAML,ADAML,plain,False,ADAML,
ADAMM,2019,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ADAMM,ADAMM,ADAMM,plain,False,ADAMM,
ADAMN,2017,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ADAMN,ADAMN,ADAMN,plain,False,ADAMN,
ADAMZ,2021,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ADAMZ,ADAMZ,ADAMZ,plain,False,ADAMZ,
ADBE,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ADBE,ADBE,ADBE,plain,False,ADBE,
ADC,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ADC,ADC,ADC,plain,False,ADC,
ADCC,2018,2021,alpha_vantage_listing_status,Stock,Delisted,ADCC,ADCC,ADCC,plain,False,ADCC,
ADCT,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active|Delisted,ADCT,ADCT,ADCT,plain,False,ADCT,
ADEA,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ADEA,ADEA,ADEA,plain,False,ADEA,
ADEP,2010,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ADEP,ADEP,ADEP,plain,False,ADEP,
ADER,2021,2022,alpha_vantage_listing_status,Stock,Active,ADER,ADER,ADER,plain,False,ADER,
ADERU,2021,2022,alpha_vantage_listing_status,Stock,Active,ADERU,ADERU,ADERU,plain,False,ADERU,
ADERW,2021,2022,alpha_vantage_listing_status,Stock,Active,ADERW,ADERW,ADERW,plain,False,ADERW,
ADGE,2010,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ADGE,ADGE,ADGE,plain,False,ADGE,
ADGF,2010,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ADGF,ADGF,ADGF,plain,False,ADGF,
ADHD,2013,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ADHD,ADHD,ADHD,plain,False,ADHD,
ADI,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ADI,ADI,ADI,plain,False,ADI,
ADIL,2018,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ADIL,ADIL,ADIL,plain,False,ADIL,
ADILW,2018,2022,alpha_vantage_listing_status,Stock,Active,ADILW,ADILW,ADILW,plain,False,ADILW,
ADK,2010,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ADK,ADK,ADK,plain,False,ADK,
ADLR,2010,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ADLR,ADLR,ADLR,plain,False,ADLR,
ADM,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ADM,ADM,ADM,plain,False,ADM,
ADMA,2013,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ADMA,ADMA,ADMA,plain,False,ADMA,
ADMS,2014,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ADMS,ADMS,ADMS,plain,False,ADMS,
ADN,2019,2022,alpha_vantage_listing_status,Stock,Active,ADN,ADN,ADN,plain,False,ADN,
ADNC,2012,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ADNC,ADNC,ADNC,plain,False,ADNC,
ADNT,2016,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ADNT,ADNT,ADNT,plain,False,ADNT,
ADOC,2020,2022,alpha_vantage_listing_status,Stock,Active,ADOC,ADOC,ADOC,plain,False,ADOC,
ADOCR,2020,2022,alpha_vantage_listing_status,Stock,Active,ADOCR,ADOCR,ADOCR,plain,False,ADOCR,
ADOCU,2020,2021,alpha_vantage_listing_status,Stock,Delisted,ADOCU,ADOCU,ADOCU,plain,False,ADOCU,
ADP,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active,ADP,ADP,ADP,plain,False,ADP,
ADPI,2012,2021,alpha_vantage_listing_status,Stock,Delisted,ADPI,ADPI,ADPI,plain,False,ADPI,
ADPT,2014,2026,alpha_vantage_listing_status|runtime_symbols_txt,Stock,Active|Delisted,ADPT,ADPT,ADPT,plain,False,ADPT,
ADPTQ,2014,2021,alpha_vantage_listing_status,Stock,Active|Delisted,ADPTQ,ADPTQ,ADPTQ,plain,False,ADPTQ,
ADRAU,2021,2022,alpha_vantage_listing_status,Stock,Active,ADRAU,ADRAU,ADRAU,plain,False,ADRAU,
