symbol,first_snapshot_year,latest_snapshot_year,sources,asset_types,statuses,alpha_vantage_symbol,yahoo_symbol_candidate,local_symbol_candidate,symbol_suffix_type,needs_symbol_validation
AIA,2010,2022,alpha_vantage_listing_status,ETF,Active,AIA,AIA,AIA,plain,False
AIEQ,2017,2022,alpha_vantage_listing_status,ETF,Active,AIEQ,AIEQ,AIEQ,plain,False
AIF,2013,2022,alpha_vantage_listing_status,ETF,Active,AIF,AIF,AIF,plain,False
AIIQ,2018,2021,alpha_vantage_listing_status,ETF,Active,AIIQ,AIIQ,AIIQ,plain,False
AILG,2021,2022,alpha_vantage_listing_status,ETF,Active,AILG,AILG,AILG,plain,False
AILV,2021,2022,alpha_vantage_listing_status,ETF,Active,AILV,AILV,AILV,plain,False
AIQ,2010,2022,alpha_vantage_listing_status,ETF|Stock,Active|Delisted,AIQ,AIQ,AIQ,plain,False
AIRR,2014,2022,alpha_vantage_listing_status,ETF,Active,AIRR,AIRR,AIRR,plain,False
AIU,2018,2022,alpha_vantage_listing_status,ETF,Active,AIU,AIU,AIU,plain,False
AIVC,2016,2022,alpha_vantage_listing_status,ETF,Active,AIVC,AIVC,AIVC,plain,False
AIVI,2010,2022,alpha_vantage_listing_status,ETF,Active,AIVI,AIVI,AIVI,plain,False
AIVL,2010,2022,alpha_vantage_listing_status,ETF,Active,AIVL,AIVL,AIVL,plain,False
AKP,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AKP,AKP,AKP,plain,False
ALD,2011,2021,alpha_vantage_listing_status,ETF,Active|Delisted,ALD,ALD,ALD,plain,False
ALFA,2012,2021,alpha_vantage_listing_status,ETF,Active,ALFA,ALFA,ALFA,plain,False
ALFI,2015,2021,alpha_vantage_listing_status,ETF,Active|Delisted,ALFI,ALFI,ALFI,plain,False
ALTL,2012,2022,alpha_vantage_listing_status,ETF,Active|Delisted,ALTL,ALTL,ALTL,plain,False
ALTS,2014,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,ALTS,ALTS,ALTS,plain,False
ALTY,2015,2022,alpha_vantage_listing_status,ETF,Active,ALTY,ALTY,ALTY,plain,False
AMAX,2021,2022,alpha_vantage_listing_status,ETF,Active,AMAX,AMAX,AMAX,plain,False
AMCA,2017,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AMCA,AMCA,AMCA,plain,False
AMER,2020,2021,alpha_vantage_listing_status,ETF,Active,AMER,AMER,AMER,plain,False
AMID,2011,2022,alpha_vantage_listing_status,ETF|Stock,Active|Delisted,AMID,AMID,AMID,plain,False
AMJ,2010,2022,alpha_vantage_listing_status,ETF,Active,AMJ,AMJ,AMJ,plain,False
AMJL,2016,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AMJL,AMJL,AMJL,plain,False
AMLP,2010,2022,alpha_vantage_listing_status,ETF,Active,AMLP,AMLP,AMLP,plain,False
AMLX,2017,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF|Stock,Active|Delisted,AMLX,AMLX,AMLX,plain,False
AMNA,2020,2022,alpha_vantage_listing_status,ETF,Active,AMNA,AMNA,AMNA,plain,False
AMOM,2019,2022,alpha_vantage_listing_status,ETF,Active,AMOM,AMOM,AMOM,plain,False
AMPD,2017,2021,alpha_vantage_listing_status,ETF,Active,AMPD,AMPD,AMPD,plain,False
AMPS,2012,2022,alpha_vantage_listing_status,ETF|Stock,Active|Delisted,AMPS,AMPS,AMPS,plain,False
AMU,2012,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AMU,AMU,AMU,plain,False
AMUB,2015,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,AMUB,AMUB,AMUB,plain,False
AMZA,2014,2022,alpha_vantage_listing_status,ETF,Active,AMZA,AMZA,AMZA,plain,False
AMZD,2022,2022,alpha_vantage_listing_status,ETF,Active,AMZD,AMZD,AMZD,plain,False
AMZU,2022,2022,alpha_vantage_listing_status,ETF,Active,AMZU,AMZU,AMZU,plain,False
AND,2011,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AND,AND,AND,plain,False
ANEW,2020,2022,alpha_vantage_listing_status,ETF,Active,ANEW,ANEW,ANEW,plain,False
ANGL,2012,2022,alpha_vantage_listing_status,ETF,Active,ANGL,ANGL,ANGL,plain,False
AOA,2010,2022,alpha_vantage_listing_status,ETF,Active,AOA,AOA,AOA,plain,False
AOD,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,AOD,AOD,AOD,plain,False
AOIL,2017,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AOIL,AOIL,AOIL,plain,False
AOK,2010,2022,alpha_vantage_listing_status,ETF,Active,AOK,AOK,AOK,plain,False
AOM,2010,2022,alpha_vantage_listing_status,ETF,Active,AOM,AOM,AOM,plain,False
AOR,2010,2022,alpha_vantage_listing_status,ETF,Active,AOR,AOR,AOR,plain,False
AOTG,2022,2022,alpha_vantage_listing_status,ETF,Active,AOTG,AOTG,AOTG,plain,False
APF,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,APF,APF,APF,plain,False
APRT,2020,2022,alpha_vantage_listing_status,ETF,Active,APRT,APRT,APRT,plain,False
APRW,2020,2022,alpha_vantage_listing_status,ETF,Active,APRW,APRW,APRW,plain,False
APRZ,2021,2022,alpha_vantage_listing_status,ETF,Active,APRZ,APRZ,APRZ,plain,False
APXH,2021,2022,alpha_vantage_listing_status,ETF,Active,APXH,APXH,APXH,plain,False
AQGX,2021,2022,alpha_vantage_listing_status,ETF,Active,AQGX,AQGX,AQGX,plain,False
AQWA,2021,2022,alpha_vantage_listing_status,ETF,Active,AQWA,AQWA,AQWA,plain,False
ARB,2020,2022,alpha_vantage_listing_status,ETF,Active,ARB,ARB,ARB,plain,False
ARCM,2017,2022,alpha_vantage_listing_status,ETF,Active,ARCM,ARCM,ARCM,plain,False
ARCX,2013,2022,alpha_vantage_listing_status,ETF,Active,ARCX,ARCX,ARCX,plain,False
ARDC,2012,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,ARDC,ARDC,ARDC,plain,False
ARGT,2011,2022,alpha_vantage_listing_status,ETF,Active,ARGT,ARGT,ARGT,plain,False
ARKF,2019,2022,alpha_vantage_listing_status,ETF,Active,ARKF,ARKF,ARKF,plain,False
ARKG,2014,2022,alpha_vantage_listing_status,ETF,Active,ARKG,ARKG,ARKG,plain,False
ARKK,2014,2022,alpha_vantage_listing_status,ETF,Active,ARKK,ARKK,ARKK,plain,False
ARKQ,2014,2022,alpha_vantage_listing_status,ETF,Active,ARKQ,ARKQ,ARKQ,plain,False
ARKW,2014,2022,alpha_vantage_listing_status,ETF,Active,ARKW,ARKW,ARKW,plain,False
ARKX,2021,2022,alpha_vantage_listing_status,ETF,Active,ARKX,ARKX,ARKX,plain,False
ARMF,2013,2021,alpha_vantage_listing_status,ETF,Active|Delisted,ARMF,ARMF,ARMF,plain,False
ARMR,2020,2022,alpha_vantage_listing_status,ETF,Active,ARMR,ARMR,ARMR,plain,False
ARP,2022,2022,alpha_vantage_listing_status,ETF,Active,ARP,ARP,ARP,plain,False
ARTY,2018,2022,alpha_vantage_listing_status,ETF,Active,ARTY,ARTY,ARTY,plain,False
ARVR,2016,2022,alpha_vantage_listing_status,ETF,Active|Delisted,ARVR,ARVR,ARVR,plain,False
ASA,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,ASA,ASA,ASA,plain,False
ASDR,2013,2021,alpha_vantage_listing_status,ETF,Active|Delisted,ASDR,ASDR,ASDR,plain,False
ASEA,2011,2022,alpha_vantage_listing_status,ETF,Active,ASEA,ASEA,ASEA,plain,False
ASET,2015,2022,alpha_vantage_listing_status,ETF,Active,ASET,ASET,ASET,plain,False
ASG,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,ASG,ASG,ASG,plain,False
ASHR,2013,2022,alpha_vantage_listing_status,ETF,Active,ASHR,ASHR,ASHR,plain,False
ASHS,2014,2022,alpha_vantage_listing_status,ETF,Active,ASHS,ASHS,ASHS,plain,False
ASHX,2015,2022,alpha_vantage_listing_status,ETF,Active,ASHX,ASHX,ASHX,plain,False
ASPY,2021,2022,alpha_vantage_listing_status,ETF,Active,ASPY,ASPY,ASPY,plain,False
ATFV,2021,2022,alpha_vantage_listing_status,ETF,Active,ATFV,ATFV,ATFV,plain,False
ATMP,2013,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,ATMP,ATMP,ATMP,plain,False
AUD,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AUD,AUD,AUD,plain,False
AUGZ,2020,2022,alpha_vantage_listing_status,ETF,Active,AUGZ,AUGZ,AUGZ,plain,False
AUNZ,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AUNZ,AUNZ,AUNZ,plain,False
AUSE,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AUSE,AUSE,AUSE,plain,False
AUSF,2018,2022,alpha_vantage_listing_status,ETF,Active,AUSF,AUSF,AUSF,plain,False
AVDE,2019,2022,alpha_vantage_listing_status,ETF,Active,AVDE,AVDE,AVDE,plain,False
AVDG,2020,2021,alpha_vantage_listing_status,ETF,Active,AVDG,AVDG,AVDG,plain,False
AVDR,2019,2021,alpha_vantage_listing_status,ETF|Stock,Active|Delisted,AVDR,AVDR,AVDR,plain,False
AVDV,2019,2022,alpha_vantage_listing_status,ETF,Active,AVDV,AVDV,AVDV,plain,False
AVEM,2019,2022,alpha_vantage_listing_status,ETF,Active,AVEM,AVEM,AVEM,plain,False
AVES,2021,2022,alpha_vantage_listing_status,ETF,Active,AVES,AVES,AVES,plain,False
AVGE,2022,2022,alpha_vantage_listing_status,ETF,Active,AVGE,AVGE,AVGE,plain,False
AVIE,2022,2022,alpha_vantage_listing_status,ETF,Active,AVIE,AVIE,AVIE,plain,False
AVIG,2020,2022,alpha_vantage_listing_status,ETF,Active,AVIG,AVIG,AVIG,plain,False
AVIV,2013,2022,alpha_vantage_listing_status,ETF|Stock,Active|Delisted,AVIV,AVIV,AVIV,plain,False
AVK,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,AVK,AVK,AVK,plain,False
AVLV,2021,2022,alpha_vantage_listing_status,ETF,Active,AVLV,AVLV,AVLV,plain,False
AVMU,2020,2022,alpha_vantage_listing_status,ETF,Active,AVMU,AVMU,AVMU,plain,False
AVRE,2021,2022,alpha_vantage_listing_status,ETF,Active,AVRE,AVRE,AVRE,plain,False
AVSC,2022,2022,alpha_vantage_listing_status,ETF,Active,AVSC,AVSC,AVSC,plain,False
AVSD,2022,2022,alpha_vantage_listing_status,ETF,Active,AVSD,AVSD,AVSD,plain,False
AVSE,2022,2022,alpha_vantage_listing_status,ETF,Active,AVSE,AVSE,AVSE,plain,False
AVSF,2020,2022,alpha_vantage_listing_status,ETF,Active,AVSF,AVSF,AVSF,plain,False
AVSU,2022,2022,alpha_vantage_listing_status,ETF,Active,AVSU,AVSU,AVSU,plain,False
AVUS,2019,2022,alpha_vantage_listing_status,ETF,Active,AVUS,AVUS,AVUS,plain,False
AVUV,2019,2022,alpha_vantage_listing_status,ETF,Active,AVUV,AVUV,AVUV,plain,False
AWAY,2011,2022,alpha_vantage_listing_status,ETF,Active,AWAY,AWAY,AWAY,plain,False
AWF,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,AWF,AWF,AWF,plain,False
AWP,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,AWP,AWP,AWP,plain,False
AWTM,2019,2021,alpha_vantage_listing_status,ETF,Active,AWTM,AWTM,AWTM,plain,False
AWYX,2021,2022,alpha_vantage_listing_status,ETF,Active,AWYX,AWYX,AWYX,plain,False
AXJL,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AXJL,AXJL,AXJL,plain,False
AXJS,2012,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AXJS,AXJS,AXJS,plain,False
AXJV,2014,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AXJV,AXJV,AXJV,plain,False
AYT,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AYT,AYT,AYT,plain,False
AZIA,2013,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AZIA,AZIA,AZIA,plain,False
AZTD,2022,2022,alpha_vantage_listing_status,ETF,Active,AZTD,AZTD,AZTD,plain,False
BAB,2010,2022,alpha_vantage_listing_status,ETF,Active,BAB,BAB,BAB,plain,False
BABS,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,BABS,BABS,BABS,plain,False
BABX,2022,2022,alpha_vantage_listing_status,ETF,Active,BABX,BABX,BABX,plain,False
BABZ,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,BABZ,BABZ,BABZ,plain,False
BAD,2021,2022,alpha_vantage_listing_status,ETF,Active,BAD,BAD,BAD,plain,False
BAF,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,BAF,BAF,BAF,plain,False
BAL,2010,2022,alpha_vantage_listing_status,ETF,Active|Delisted,BAL,BAL,BAL,plain,False
BALT,2010,2022,alpha_vantage_listing_status,ETF|Stock,Active|Delisted,BALT,BALT,BALT,plain,False
BAPR,2019,2022,alpha_vantage_listing_status,ETF,Active,BAPR,BAPR,BAPR,plain,False
BAR,2017,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,BAR,BAR,BAR,plain,False
BAR1,2014,2021,alpha_vantage_listing_status,ETF,Active|Delisted,BAR1,BAR1,BAR1,plain,False
BARL,2012,2021,alpha_vantage_listing_status,ETF,Active|Delisted,BARL,BARL,BARL,plain,False
BARS,2014,2021,alpha_vantage_listing_status,ETF,Delisted,BARS,BARS,BARS,plain,False
BAS,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,BAS,BAS,BAS,plain,False
BATT,2018,2022,alpha_vantage_listing_status,ETF,Active,BATT,BATT,BATT,plain,False
BAUG,2019,2022,alpha_vantage_listing_status,ETF,Active,BAUG,BAUG,BAUG,plain,False
BBAG,2018,2022,alpha_vantage_listing_status,ETF,Active,BBAG,BBAG,BBAG,plain,False
BBAX,2018,2022,alpha_vantage_listing_status,ETF,Active,BBAX,BBAX,BBAX,plain,False
BBC,2014,2022,alpha_vantage_listing_status,ETF,Active,BBC,BBC,BBC,plain,False
BBCA,2018,2022,alpha_vantage_listing_status,ETF,Active,BBCA,BBCA,BBCA,plain,False
BBCB,2018,2022,alpha_vantage_listing_status,ETF,Active,BBCB,BBCB,BBCB,plain,False
BBEU,2018,2022,alpha_vantage_listing_status,ETF,Active,BBEU,BBEU,BBEU,plain,False
BBF,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,BBF,BBF,BBF,plain,False
BBH,2010,2022,alpha_vantage_listing_status,ETF,Active,BBH,BBH,BBH,plain,False
BBHY,2016,2022,alpha_vantage_listing_status,ETF,Active,BBHY,BBHY,BBHY,plain,False
BBIN,2019,2022,alpha_vantage_listing_status,ETF,Active,BBIN,BBIN,BBIN,plain,False
BBJP,2018,2022,alpha_vantage_listing_status,ETF,Active,BBJP,BBJP,BBJP,plain,False
BBK,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,BBK,BBK,BBK,plain,False
BBLU,2022,2022,alpha_vantage_listing_status,ETF,Active,BBLU,BBLU,BBLU,plain,False
BBMC,2020,2022,alpha_vantage_listing_status,ETF,Active,BBMC,BBMC,BBMC,plain,False
BBN,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,BBN,BBN,BBN,plain,False
BBP,2014,2022,alpha_vantage_listing_status,ETF,Active,BBP,BBP,BBP,plain,False
BBRC,2012,2021,alpha_vantage_listing_status,ETF,Active|Delisted,BBRC,BBRC,BBRC,plain,False
BBRE,2018,2022,alpha_vantage_listing_status,ETF,Active,BBRE,BBRE,BBRE,plain,False
BBSA,2019,2022,alpha_vantage_listing_status,ETF,Active,BBSA,BBSA,BBSA,plain,False
BBSC,2020,2022,alpha_vantage_listing_status,ETF,Active,BBSC,BBSC,BBSC,plain,False
BBUS,2019,2022,alpha_vantage_listing_status,ETF,Active,BBUS,BBUS,BBUS,plain,False
BCD,2017,2022,alpha_vantage_listing_status,ETF,Active,BCD,BCD,BCD,plain,False
BCDF,2022,2022,alpha_vantage_listing_status,ETF,Active,BCDF,BCDF,BCDF,plain,False
BCHP,2014,2021,alpha_vantage_listing_status,ETF,Active|Delisted,BCHP,BCHP,BCHP,plain,False
BCI,2017,2022,alpha_vantage_listing_status,ETF,Active,BCI,BCI,BCI,plain,False
BCIM,2021,2022,alpha_vantage_listing_status,ETF,Active,BCIM,BCIM,BCIM,plain,False
BCM,2011,2022,alpha_vantage_listing_status,ETF,Active,BCM,BCM,BCM,plain,False
BCNA,2018,2021,alpha_vantage_listing_status,ETF,Active|Delisted,BCNA,BCNA,BCNA,plain,False
BCV,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,BCV,BCV,BCV,plain,False
BCX,2011,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,BCX,BCX,BCX,plain,False
BDCL,2011,2021,alpha_vantage_listing_status,ETF,Active|Delisted,BDCL,BDCL,BDCL,plain,False
BDCS,2011,2021,alpha_vantage_listing_status,ETF,Active|Delisted,BDCS,BDCS,BDCS,plain,False
BDCZ,2015,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,BDCZ,BDCZ,BDCZ,plain,False
BDEC,2019,2022,alpha_vantage_listing_status,ETF,Active,BDEC,BDEC,BDEC,plain,False
BDG,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,BDG,BDG,BDG,plain,False
BDJ,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,BDJ,BDJ,BDJ,plain,False
BDRY,2018,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,BDRY,BDRY,BDRY,plain,False
BECO,2021,2022,alpha_vantage_listing_status,ETF,Active,BECO,BECO,BECO,plain,False
BEDZ,2021,2022,alpha_vantage_listing_status,ETF,Active,BEDZ,BEDZ,BEDZ,plain,False
BERN,2017,2021,alpha_vantage_listing_status,ETF,Active|Delisted,BERN,BERN,BERN,plain,False
BETZ,2020,2022,alpha_vantage_listing_status,ETF,Active,BETZ,BETZ,BETZ,plain,False
BFEB,2020,2022,alpha_vantage_listing_status,ETF,Active,BFEB,BFEB,BFEB,plain,False
BFIT,2016,2022,alpha_vantage_listing_status,ETF,Active,BFIT,BFIT,BFIT,plain,False
BFIX,2022,2022,alpha_vantage_listing_status,ETF,Active,BFIX,BFIX,BFIX,plain,False
BFK,2010,2022,alpha_vantage_listing_status,ETF,Active,BFK,BFK,BFK,plain,False
BFO,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,BFO,BFO,BFO,plain,False
BFOR,2013,2022,alpha_vantage_listing_status,ETF,Active,BFOR,BFOR,BFOR,plain,False
BFTR,2020,2022,alpha_vantage_listing_status,ETF,Active,BFTR,BFTR,BFTR,plain,False
BFY,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,BFY,BFY,BFY,plain,False
BFZ,2010,2022,alpha_vantage_listing_status,ETF,Active,BFZ,BFZ,BFZ,plain,False
BGB,2012,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,BGB,BGB,BGB,plain,False
BGH,2012,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,BGH,BGH,BGH,plain,False
BGIO,2017,2021,alpha_vantage_listing_status,ETF,Active|Delisted,BGIO,BGIO,BGIO,plain,False
BGLD,2021,2022,alpha_vantage_listing_status,ETF,Active,BGLD,BGLD,BGLD,plain,False
BGR,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,BGR,BGR,BGR,plain,False
