ticker,cik,sic,ff12,ff48,ff49,ff_label,ff12_source,classification_confidence,classification_issue,secondary_sector,secondary_industry,secondary_source,secondary_reason,sic_desc
AEAE,,,2,-1,-1,Durbl,legacy_backtest,high,,,,,,
AEAEU,,,2,-1,-1,Durbl,legacy_backtest,high,,,,,,
AEAEW,,,2,-1,-1,Durbl,legacy_backtest,high,,,,,,
AEC,1519469,1000.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AED,,,9,-1,-1,Shops,legacy_backtest,high,,,,,,
AEE,1002910,4931.0,8,-1,-1,Utils,sic_mapping,high,,,,,,
AEFC,769218,6311.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AEG,769218,6311.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AEHL,1470683,4899.0,7,-1,-1,Telcm,sic_mapping,high,,,,,,
AEHR,1040470,3825.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AEI,1750106,6500.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AEIS,927003,3679.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AEM,2809,1040.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AEMD,882291,3841.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AENT,1823584,5099.0,9,-1,-1,Shops,sic_mapping,high,,,,,,
AENTW,,,9,-1,-1,Shops,legacy_backtest,high,,,,,,
AEO,919012,5651.0,9,-1,-1,Shops,sic_mapping,high,,,,,,
AEON,1837607,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AEP,4904,4911.0,8,-1,-1,Utils,sic_mapping,high,,,,,,
AER,1378789,7359.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AERO,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
AERT,1853044,8742.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AERTW,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
AES,874761,4991.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AESI,1984060,1311.0,4,-1,-1,Enrgy,sic_mapping,high,,,,,,
AEVA,1789029,3714.0,2,-1,-1,Durbl,sic_mapping,high,,,,,,
AEYE,1362190,7372.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AFBI,1823406,6036.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AFCG,1822523,6500.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AFG,1042046,6331.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AFGB,1042046,6331.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AFGC,1042046,6331.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AFGD,1042046,6331.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AFGE,1042046,6331.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AFL,4977,6321.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AFRI,1903870,2040.0,1,-1,-1,NoDur,sic_mapping,high,,,,,,
AFRIW,,,1,-1,-1,NoDur,legacy_backtest,high,,,,,,
AFRM,1820953,6141.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AFYA,1771007,8200.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AG,1308648,1040.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AGAE,1708341,7900.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
