symbol,first_eligible_trade_date,source,notes
AGCO,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AGEN,2001-02-07,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AGI,2004-05-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AGIG,2003-01-22,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AGIO,2014-07-24,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AGL,2022-04-15,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AGM,1995-02-10,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AGMH,2019-04-18,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AGNC,2009-05-15,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AGNCL,2023-09-12,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AGNCM,2020-03-05,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AGNCN,2018-08-16,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AGNCO,2020-09-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AGNCP,2021-02-04,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AGO,2005-04-25,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AGPU,2011-05-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AGRO,2012-01-30,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AGX,1996-08-17,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AGYS,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AHCO,2019-06-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AHG,2018-11-05,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AHRT,2014-05-08,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AHT,2004-08-26,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AI,2021-12-09,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIFF,1995-04-06,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIFU,2008-10-31,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIG,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIHS,2019-03-20,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AIIO,2021-03-22,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
