symbol,status,latest_date,row_count,futu_basic_available,futu_stock_type,futu_exchange_type,futu_name,final_futu_history_status,final_futu_latest_date,final_futu_history_rows,final_futu_error
BVGLY,missing_csv,,0,True,STOCK,US_PINK,BELLEVUE GOLD LTD,history_error,,0.0,Do not support OTC market data BVGLY
BWGC,empty_csv,,0,True,STOCK,US_NASDAQ,BW Industrial Holdings,history_empty,,0.0,
BXDIF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
BXRLY,empty_csv,,0,True,STOCK,US_PINK,BXRLY,history_error,,0.0,Do not support OTC market data BXRLY
CAEP,stale_csv,2026-05-15,136,True,STOCK,US_NASDAQ,"Cantor Equity Partners III, Inc.",history_stale,2026-05-15,122.0,
CAPI,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
CBPHF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
CBRGF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
CCIL,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
CCLV,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
CDTHY,empty_csv,,0,True,STOCK,US_PINK,CONDUIT HLDGS LTD UNSPON ADS EACH REP 4 ORD SHS,history_error,,0.0,Do not support OTC market data CDTHY
CGL,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
CILFY,empty_csv,,0,True,STOCK,US_PINK,CHINA LIFE INSURANCE CO LTD UNSPON ADS EACH REP 0.5 ORD,history_error,,0.0,Do not support OTC market data CILFY
CLBZ,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
CLRLY,empty_csv,,0,True,STOCK,US_PINK,CENTRAL RETAIL COR SPON ADS EACH REP 10 ORD,history_error,,0.0,Do not support OTC market data CLRLY
CLRRF,stale_csv,2026-05-07,2,True,STOCK,US_PINK,CLIMATEROCK ORD USD0.0001 (31/10/2028 SUB/RIGHTS),history_error,,0.0,Do not support OTC market data CLRRF
CLYD,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
CMLS,stale_csv,2026-05-12,133,False,,,,not_in_futu_basicinfo,,0.0,
CMPLY,empty_csv,,0,True,STOCK,US_PINK,COM7 PUBLIC CO LTD UNSPON ADS EACH REPS 10 ORD,history_error,,0.0,Do not support OTC market data CMPLY
CMRF,stale_csv,2026-05-18,41,True,STOCK,US_PINK,CIM REAL ESTATE FIN TR INC,history_error,,0.0,Do not support OTC market data CMRF
CONE,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
COPR,stale_csv,2026-05-20,64,True,STOCK,US_PINK,IDAHO COPPER CORP,history_error,,0.0,Do not support OTC market data COPR
CPPBY,empty_csv,,0,True,STOCK,US_PINK,CPPBY,history_error,,0.0,Do not support OTC market data CPPBY
CPXXY,empty_csv,,0,True,STOCK,US_PINK,CAPITAL POWER CORPORATION ADS EACH REP 0.5 COM,history_error,,0.0,Do not support OTC market data CPXXY
CRAUY,empty_csv,,0,True,STOCK,US_PINK,CHERY AUTOMOBILE UNSPON ADS EACH REP 4 ORD SHS H,history_error,,0.0,Do not support OTC market data CRAUY
CRGT,empty_csv,,0,True,STOCK,US_AMEX,Cortigent,history_empty,,0.0,
CRYAF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
CSCCY,empty_csv,,0,True,STOCK,US_PINK,CAPSTONE COPPER CORP UNSPON ADS EACH REP 2 COM,history_error,,0.0,Do not support OTC market data CSCCY
CSGS,stale_csv,2026-05-15,136,True,STOCK,US_NASDAQ,CSG International(Delisted),history_stale,2026-05-14,121.0,
CTATF,stale_csv,2026-05-20,90,False,,,,not_in_futu_basicinfo,,0.0,
CTLP,stale_csv,2026-05-15,133,True,STOCK,US_NASDAQ,Cantaloupe(Delisted),history_stale,2026-05-07,116.0,
CTPUF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
CTTRF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
CVCPY,empty_csv,,0,True,STOCK,US_PINK,CVC CAPITAL PARTNERS PLC UNSPON ADS EA REP 0.5 ORD,history_error,,0.0,Do not support OTC market data CVCPY
CWLXF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
CXII,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
DAVI,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
