symbol,name,exchange,assetType,ipoDate,delistingDate,status
MIR,MIRANT CORP,NYSE,Stock,2006-12-28,2010-12-03,Delisted
MNC,MONACO COACH CORP,NYSE,Stock,2006-12-28,2009-02-27,Delisted
MRDG,Miracor Diagnostics Inc,NASDAQ,Stock,2001-01-02,2010-07-15,Delisted
MVL,Marvel Entertainment Inc,NYSE,Stock,2006-12-28,2009-12-31,Delisted
NFS,GRANITESHARES 2X SHORT NFLX DAILY ETF ,NYSE,ETF,1997-03-06,2010-01-08,Delisted
NMX,NYMEX HOLDINGS INC,NYSE,Stock,2006-11-17,2009-08-28,Delisted
NTY,NBTY INC,NYSE,Stock,2006-12-28,2010-09-30,Delisted
NZ,NETEZZA CORP,NYSE,Stock,2009-04-09,2010-11-10,Delisted
ODSY,ODYSSEY HEALTHCARE INC,NASDAQ,Stock,2001-10-31,2010-09-03,Delisted
OPTM,OPTIUM CORP,NASDAQ,Stock,2006-10-27,2009-09-29,Delisted
ORCG,Oak Ridge Capital Group,NASDAQ,Stock,2002-06-17,2009-12-24,Delisted
ORH,ODYSSEY RE HOLDINGS CORP,NYSE,Stock,2008-06-11,2010-11-05,Delisted
OSIP,OSI PHARMACEUTICALS INC,NASDAQ,Stock,2010-06-08,2010-06-25,Delisted
OSP,OSG America L.P.,NYSE,Stock,2007-11-09,2010-12-27,Delisted
OSTE,OSTEOTECH INC,NASDAQ,Stock,2010-11-16,2010-12-03,Delisted
OTIX,OTIX GLOBAL INC.,NASDAQ,Stock,2001-01-02,2010-12-10,Delisted
OVEN,TURBOCHEF TECHNOLOGIES INC,NYSE,Stock,1995-08-18,2010-01-13,Delisted
PALM,PALM INC,NASDAQ,Stock,2007-10-25,2010-07-19,Delisted
PCOP,PHARMACOPEIA INC,NASDAQ,Stock,1995-12-06,2009-12-31,Delisted
PMII,Power Medical Interventions Inc,NASDAQ,Stock,2009-09-10,2009-10-15,Delisted
PSG,Performance Sports Group Ltd,NYSE,Stock,2006-05-15,2010-11-08,Delisted
REST,Restore Medical Inc,NASDAQ,Stock,2006-05-17,2009-09-28,Delisted
ROH,ROHM HAAS CO,NYSE,Stock,2006-12-28,2009-04-01,Delisted
RPRS,Republic Resources Inc,NASDAQ,Stock,2001-01-02,2009-09-08,Delisted
SBKC,SECURITY BANK CORP,NASDAQ,Stock,2006-12-28,2009-07-24,Delisted
SKP,SCPIE HOLDINGS INC,NYSE,Stock,2001-01-02,2010-12-13,Delisted
SOV,Santander Holdings USA Inc,NYSE,Stock,2006-12-28,2009-01-29,Delisted
SPSX,SUPERIOR ESSEX INC,NASDAQ,Stock,2004-01-05,2009-09-28,Delisted
SRVY,GREENFIELD ONLINE INC,NASDAQ,Stock,2004-07-16,2009-10-23,Delisted
STAQ,STONELEIGH PARTNERS ACQUISITION CORP.,NYSE,Stock,2009-08-10,2009-09-15,Delisted
STXN,STRATEX NETWORKS INC,NASDAQ,Stock,2007-03-29,2010-05-28,Delisted
SUMT,SUMTOTAL SYSTEMS INC,NASDAQ,Stock,1997-01-02,2009-08-06,Delisted
SWIM,THINKORSWIM GROUP INC.,NYSE,Stock,2002-11-14,2009-06-26,Delisted
SWWC,SOUTHWEST WATER CO,NASDAQ,Stock,2001-01-02,2010-09-30,Delisted
THMD,THERMADYNE HOLDINGS CORP,NASDAQ,Stock,2006-05-08,2010-12-13,Delisted
TWB,TWEEN BRANDS INC,NYSE,Stock,2006-12-28,2009-11-25,Delisted
TXCOQ,TXCO Resources Inc,NASDAQ,Stock,2010-01-04,2010-02-11,Delisted
VM,Virgin Mobile USA Inc,NYSE,Stock,2007-10-11,2009-11-24,Delisted
WCIMQ,WCI COMMUNITIES INC,NYSE,Stock,2008-08-05,2009-09-03,Delisted
WMZ,WILLIAMS PIPELINE PARTNERS L.P.,NYSE,Stock,2008-01-18,2010-08-31,Delisted
